id,type,tileType,health,damageable,destructible,dontDestroy,immune,lootTable,lootOnDmg,dontDropSelf,dontDropLoot,mineable,diggable,requiresDrill,tileCD,plant,growing,critter,catTags
AFBottledAnomaly,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AFDrink1,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AFDrink2,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AFDrink3,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AFDrink4,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AFDrink5,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AFDrink6,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AFPestElectric,Creature,none,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
AFPestElectricTrophy,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AFPipeClub,MeleeWeapon,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AFPortal,PlaceablePrefab,none,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AFQuillProjectile,NonObtainable,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AFQuillRifle,RangeWeapon,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AFScienceBreastArmor,BreastArmor,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AFScienceHelm,Helm,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AFSciencePantsArmor,PantsArmor,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AFVendingMachine,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AFWaterCooler,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AFWhiteBoard,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AFWoodenDestructible,PlaceablePrefab,none,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1
AbandonedCampMatress,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AbandonedCampTent,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AbandonedCampfire,NonObtainable,none,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AcidLarva,Creature,none,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
AcidLarvaTrophy,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AdderStone,Valuable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AdvancedAutomationTable,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AdvancedJewelryWorkBench,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AffixArcaneBeam,NonObtainable,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AffixElectricOrb,NonObtainable,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AffixFireBomb,NonObtainable,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AffixFireBombExplosion,NonUsable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AgarthaReport,Valuable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AggressiveSlimeBlob,Creature,none,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
AlchemyTable,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AlienChest,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AlienFloorVent,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
AlienFuse,NonUsable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AlienObeliskSmall,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AlienObeliskTall,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AlienTechBreastArmor,BreastArmor,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AlienTechCrystalLight,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
