fullName,fileID,guid,assembly,path
AFBottledAnomaly,706579860,5e4c644ded589d44fb6c01982fdbf432,Pug.Objects,Assets/Plugins/CoreKeeper/Pug.Objects.dll
AFPestElectric,533738725,5e4c644ded589d44fb6c01982fdbf432,Pug.Objects,Assets/Plugins/CoreKeeper/Pug.Objects.dll
AFPortal,-1995345498,3519ac58e5ff54941a4a69512016923c,Pug.Other,Assets/Plugins/CoreKeeper/Pug.Other.dll
AFQuillProjectile,600443519,5e4c644ded589d44fb6c01982fdbf432,Pug.Objects,Assets/Plugins/CoreKeeper/Pug.Objects.dll
AFVendingMachine,2037444661,5e4c644ded589d44fb6c01982fdbf432,Pug.Objects,Assets/Plugins/CoreKeeper/Pug.Objects.dll
AFWaterCooler,736258327,5e4c644ded589d44fb6c01982fdbf432,Pug.Objects,Assets/Plugins/CoreKeeper/Pug.Objects.dll
AFWhiteboard,546195042,5e4c644ded589d44fb6c01982fdbf432,Pug.Objects,Assets/Plugins/CoreKeeper/Pug.Objects.dll
APITests,11500000,6c13d4e4e29da5542a57891a14309373,,Packages/com.unity.rendering.light-transport/Tests/Editor/UnifiedRayTracing/APITests.cs
AbandonedCamp,1663368480,5e4c644ded589d44fb6c01982fdbf432,Pug.Objects,Assets/Plugins/CoreKeeper/Pug.Objects.dll
AbandonedCampMatress,1052369234,5e4c644ded589d44fb6c01982fdbf432,Pug.Objects,Assets/Plugins/CoreKeeper/Pug.Objects.dll
AbandonedFireplace,-501161505,5e4c644ded589d44fb6c01982fdbf432,Pug.Objects,Assets/Plugins/CoreKeeper/Pug.Objects.dll
AbstractMaterialGraphTests,11500000,351a6b3ff7ef41c45938a78e94dd2a20,,Packages/com.unity.shadergraph/Tests/Editor/UnitTests/AbstractMaterialGraphTests.cs
AbyssTree,-1666369133,5e4c644ded589d44fb6c01982fdbf432,Pug.Objects,Assets/Plugins/CoreKeeper/Pug.Objects.dll
AccelStructAdapterTests,11500000,6c3df030aac84fd448f77cdd488c2e20,,Packages/com.unity.rendering.light-transport/Tests/Editor/UnifiedRayTracing/AccelStructAdapterTests.cs
AccelStructTests,11500000,1ce44971a8d69b84aa05127da72a7415,,Packages/com.unity.rendering.light-transport/Tests/Editor/UnifiedRayTracing/AccelStructTests.cs
AchievementTrackerAuthoring,920502926,9a1db145e9314404d8da91bdc1557235,Pug.ECS.Authoring,Assets/Plugins/CoreKeeper/Pug.ECS.Authoring.dll
AchievementsManager,1344580740,3519ac58e5ff54941a4a69512016923c,Pug.Other,Assets/Plugins/CoreKeeper/Pug.Other.dll
AchievementsMapper,174199647,3519ac58e5ff54941a4a69512016923c,Pug.Other,Assets/Plugins/CoreKeeper/Pug.Other.dll
AcidLarva,1195367913,5e4c644ded589d44fb6c01982fdbf432,Pug.Objects,Assets/Plugins/CoreKeeper/Pug.Objects.dll
ActAsDestructibleWhileAboveHealthThresholdAuthoring,2006179823,9a1db145e9314404d8da91bdc1557235,Pug.ECS.Authoring,Assets/Plugins/CoreKeeper/Pug.ECS.Authoring.dll
ActAsLightSourceWhenHeldInHandAuthoring,-1727328638,9a1db145e9314404d8da91bdc1557235,Pug.ECS.Authoring,Assets/Plugins/CoreKeeper/Pug.ECS.Authoring.dll
ActivatedByElectricityStateAuthoring,-541158633,9a1db145e9314404d8da91bdc1557235,Pug.ECS.Authoring,Assets/Plugins/CoreKeeper/Pug.ECS.Authoring.dll
ActivatedContentBundlesAuthoring,-1603747242,9a1db145e9314404d8da91bdc1557235,Pug.ECS.Authoring,Assets/Plugins/CoreKeeper/Pug.ECS.Authoring.dll
AdaptiveEntityBufferAuthoring,643669860,9a1db145e9314404d8da91bdc1557235,Pug.ECS.Authoring,Assets/Plugins/CoreKeeper/Pug.ECS.Authoring.dll
AddDynamicOffMeshLinkWorks,11500000,9f48814e34f5bd94eb57d5a64f7d6d5f,,Packages/com.unity.ai.navigation/Tests/Runtime/OffMeshLinkTests/AddDynamicOffMeshLinkWorks.cs
AddForceToNearbyEntitiesAuthoring,208119847,9a1db145e9314404d8da91bdc1557235,Pug.ECS.Authoring,Assets/Plugins/CoreKeeper/Pug.ECS.Authoring.dll
AddHashToBundleNameTaskTests,11500000,47c8f9980c2f63349a8fb20e6e1b5013,Unity.Addressables.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/Build/AddHashToBundleNameTaskTests.cs
AdditionalPropertiesState,11500000,31ae7c1b0efd6b1449ab3f20822060f3,,Packages/com.unity.render-pipelines.core/Editor/Properties/AdditionalPropertiesState.cs
AddrRuntimePropertiesTests.AddrRuntimePropertiesTests,11500000,e6c1d0b0ab4d44f42a99963de99d60ba,Unity.Addressables.Runtime.Tests,Packages/com.unity.addressables/Tests/Runtime/Initialization/AddrRuntimePropertiesTests.cs
AddressableAssetSettingsResourceLocationTests.AddressableAssetSettingsResourceLocationTests,11500000,03115f3e85a5cee4ba080db3d02670e9,Unity.Addressables.Runtime.Tests,Packages/com.unity.addressables/Tests/Runtime/AddressableAssetSettingsResourceLocationTests.cs
AddressableAssets.DocExampleCode.AddExceptionHandler,11500000,97ad6dc3d3427a04082f57c44933e71c,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/AddExceptionHandler.cs
AddressableAssets.DocExampleCode.AsynchronousLoading,11500000,4ac2fef2444fc40e1be92d0423a6587a,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/AsynchronousLoading.cs
AddressableAssets.DocExampleCode.BatchBuild,11500000,a51b3a53966dc984e9859a169333c8ac,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/BatchBuild.cs
AddressableAssets.DocExampleCode.BuildLauncher,11500000,ad20dc0f550e9ca4997c74ae771f6042,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/BuildLauncher.cs
AddressableAssets.DocExampleCode.CustomBuildScript,11500000,94ef737d5b23784419edd995a21c46ac,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/CustomBuildScript.cs
AddressableAssets.DocExampleCode.CustomDataBuilder,11500000,c2680c6a4bae5a14ba54dc55ec1852d7,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/CustomDataBuilder.cs
AddressableAssets.DocExampleCode.CustomLocationBuildScript,11500000,8da8f70d2b1f92d4dbb383119d26f656,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/ScriptReference/UsingPlayerBuildDataPath.cs
AddressableAssets.DocExampleCode.DeclaringReferences,11500000,d545ea8b7528c004681a86c811e92281,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/DeclaringReferences.cs
AddressableAssets.DocExampleCode.HandleDownloadError,11500000,6456c5ae7c7004aef90544e60bdb58e6,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/DownloadError.cs
AddressableAssets.DocExampleCode.IDTransformer,11500000,d80d649a59df7424dbd5e5c326a096eb,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/IDTransformer.cs
AddressableAssets.DocExampleCode.InstantiateFromKey,11500000,eb39a5e8a9f342946b37f08b70b59d02,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/InstantiateAsset.cs
AddressableAssets.DocExampleCode.InstantiateReference,11500000,1052cd47d54d3c941894699bcb6eb7f6,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/InstantiateReference.cs
AddressableAssets.DocExampleCode.LoadAddress,11500000,00e1416746642a9419ba6700f4267349,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/LoadSingle.cs
AddressableAssets.DocExampleCode.LoadFromReference,11500000,3601319bba6273845939476c3b3bf510,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/LoadReference.cs
AddressableAssets.DocExampleCode.LoadMultiple,11500000,634d22cc95ac69641b8e6f5619e01630,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/LoadMultiple.cs
AddressableAssets.DocExampleCode.LoadSceneByAddress,11500000,faa4c2d5ab226634bb3fe6dd91e50a67,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/LoadScene.cs
AddressableAssets.DocExampleCode.LoadSynchronously,11500000,0be87be5fff9bed408703777e5c234e7,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/LoadSynchronously.cs
